1	34	53	18	16
1	34	53	-1	-1
1	34	53	18	6
1	34	53	18	6
1	34	53	18	16
2	0	9	0	8
2	0	9	4	8
2	0	9	36	8
2	0	9	4	8
2	0	9	4	8
3	1	8	-1	-1
3	1	8	-1	-1
3	1	8	1	7
3	1	8	1	7
3	1	8	-1	-1
4	2	9	57	59
4	2	9	2	14
4	2	9	2	8
4	2	9	2	26
4	2	9	74	66
5	1	8	1	5
5	1	8	-1	-1
5	1	8	-1	-1
5	1	8	-1	-1
5	1	8	33	23
6	2	36	-1	-1
6	2	36	-1	-1
6	2	36	32	28
6	2	36	9	29
6	2	36	-1	-1
7	4	11	-1	-1
7	4	11	4	10
7	4	11	4	8
7	4	11	4	10
7	4	11	4	8
8	3	30	-1	-1
8	3	30	-1	-1
8	3	30	-1	-1
8	3	30	-1	-1
8	3	30	35	29
9	0	32	-1	-1
9	0	32	-1	-1
9	0	32	-1	-1
9	0	32	-1	-1
9	0	32	-1	-1
10	6	14	-1	-1
10	6	14	-1	-1
10	6	14	-1	-1
10	6	14	-1	-1
10	6	14	6	16
11	7	15	-1	-1
11	7	15	-1	-1
11	7	15	-1	-1
11	7	15	-1	-1
11	7	15	-1	-1
12	8	14	8	16
12	8	14	-1	-1
12	8	14	18	16
12	8	14	8	2
12	8	14	18	16
13	3	35	8	12
13	3	35	8	6
13	3	35	3	7
13	3	35	8	12
13	3	35	3	7
14	12	47	24	26
14	12	47	12	10
14	12	47	17	35
14	12	47	12	10
14	12	47	24	26
15	9	16	9	7
15	9	16	9	7
15	9	16	9	7
15	9	16	9	3
15	9	16	9	11
16	2	9	-1	-1
16	2	9	10	8
16	2	9	-1	-1
16	2	9	-1	-1
16	2	9	2	8
17	3	37	11	9
17	3	37	-1	-1
17	3	37	-1	-1
17	3	37	40	36
17	3	37	-1	-1
18	2	9	-1	-1
18	2	9	2	8
18	2	9	-1	-1
18	2	9	-1	-1
18	2	9	2	8
19	19	24	19	17
19	19	24	19	17
19	19	24	19	23
19	19	24	19	23
19	19	24	19	23
20	2	10	2	6
20	2	10	37	9
20	2	10	-1	-1
20	2	10	-1	-1
20	2	10	37	35
21	2	9	-1	-1
21	2	9	-1	-1
21	2	9	1	9
21	2	9	-1	-1
21	2	9	-1	-1
22	0	26	15	25
22	0	26	15	17
22	0	26	15	25
22	0	26	29	21
22	0	26	-1	-1
23	4	13	-1	-1
23	4	13	-1	-1
23	4	13	-1	-1
23	4	13	10	12
23	4	13	-1	-1
24	3	9	-1	-1
24	3	9	-1	-1
24	3	9	-1	-1
24	3	9	-1	-1
24	3	9	-1	-1
25	3	38	3	11
25	3	38	-1	-1
25	3	38	47	51
25	3	38	-1	-1
25	3	38	33	33
26	1	7	41	39
26	1	7	-1	-1
26	1	7	-1	-1
26	1	7	-1	-1
26	1	7	41	39
27	4	26	4	8
27	4	26	4	12
27	4	26	4	12
27	4	26	4	44
27	4	26	4	12
28	3	10	-1	-1
28	3	10	-1	-1
28	3	10	-1	-1
28	3	10	-1	-1
28	3	10	-1	-1
29	0	35	-1	-1
29	0	35	-1	-1
29	0	35	56	34
29	0	35	56	58
29	0	35	-1	-1
30	12	37	-1	-1
30	12	37	-1	-1
30	12	37	-1	-1
30	12	37	-1	-1
30	12	37	12	26
31	5	11	-1	-1
31	5	11	5	3
31	5	11	-1	-1
31	5	11	-1	-1
31	5	11	-1	-1
32	9	15	-1	-1
32	9	15	-1	-1
32	9	15	-1	-1
32	9	15	-1	-1
32	9	15	9	11
33	1	7	0	6
33	1	7	-1	-1
33	1	7	12	10
33	1	7	12	8
33	1	7	12	8
34	1	25	-1	-1
34	1	25	42	40
34	1	25	0	2
34	1	25	0	40
34	1	25	-1	-1
35	103	112	48	90
35	103	112	4	8
35	103	112	48	54
35	103	112	4	20
35	103	112	4	8
36	1	29	0	14
36	1	29	18	14
36	1	29	-1	-1
36	1	29	55	57
36	1	29	18	14
37	1	27	1	9
37	1	27	1	13
37	1	27	1	5
37	1	27	-1	-1
37	1	27	1	5
38	1	7	-1	-1
38	1	7	22	44
38	1	7	1	29
38	1	7	1	25
38	1	7	1	63
39	20	49	-1	-1
39	20	49	20	6
39	20	49	22	26
39	20	49	20	18
39	20	49	20	26
40	1	8	23	27
40	1	8	-1	-1
40	1	8	-1	-1
40	1	8	19	7
40	1	8	19	17
41	4	11	-1	-1
41	4	11	4	16
41	4	11	-1	-1
41	4	11	-1	-1
41	4	11	4	16
42	1	22	23	21
42	1	22	23	21
42	1	22	1	3
42	1	22	23	21
42	1	22	23	21
43	1	10	1	5
43	1	10	1	27
43	1	10	-1	-1
43	1	10	1	9
43	1	10	28	26
44	1	23	1	3
44	1	23	1	5
44	1	23	1	5
44	1	23	1	5
44	1	23	1	3
45	3	10	20	18
45	3	10	20	18
45	3	10	3	19
45	3	10	3	9
45	3	10	3	9
46	0	11	0	8
46	0	11	-1	-1
46	0	11	0	8
46	0	11	0	10
46	0	11	0	10
47	1	6	19	15
47	1	6	27	19
47	1	6	1	15
47	1	6	1	15
47	1	6	1	15
48	1	12	1	15
48	1	12	1	3
48	1	12	1	3
48	1	12	1	3
48	1	12	1	3
49	1	8	37	39
49	1	8	-1	-1
49	1	8	37	39
49	1	8	37	47
49	1	8	-1	-1
50	1	39	1	65
50	1	39	-1	-1
50	1	39	52	38
50	1	39	51	57
50	1	39	-1	-1
51	8	37	-1	-1
51	8	37	-1	-1
51	8	37	-1	-1
51	8	37	-1	-1
51	8	37	-1	-1
52	2	9	2	4
52	2	9	2	4
52	2	9	-1	-1
52	2	9	2	4
52	2	9	35	47
53	2	9	-1	-1
53	2	9	-1	-1
53	2	9	-1	-1
53	2	9	-1	-1
53	2	9	26	24
54	0	35	0	34
54	0	35	32	34
54	0	35	-1	-1
54	0	35	-1	-1
54	0	35	-1	-1
